,Order ID,Date,Product,Price,Quantity,Purchase Type,Payment Method,Manager,City,Amount,Profit_Margin,Conversion_Factor,USD_Amount
0,10452,2022-11-07,Fries,3.49,573.07,Online , Gift Card,Tom      Jackson,London,2000.0143000000003,300.00214500000004,1.25,2500.0178750000005
1,10453,2022-11-07,Beverages,2.95,745.76,Online , Gift Card,       Pablo Perez,Madrid,2199.992,329.9988,1.08,2375.9913600000004
2,10454,2022-11-07,Sides & Other,4.99,200.4,In-store , Gift Card,Joao    Silva,Lisbon,999.9960000000001,149.9994,1.08,1079.9956800000002
3,10455,2022-11-08,Burgers,12.99,569.67,In-store , Credit Card,Walter Muller,Berlin,7400.0133,1110.0019949999999,1.08,7992.014364
4,10456,2022-11-08,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Walter Muller,Berlin,2000.0494999999999,300.00742499999996,1.08,2160.05346
5,10457,2022-11-08,Fries,3.49,573.07,In-store , Credit Card,Remy    Monet,Paris,2000.0143000000003,300.00214500000004,1.08,2160.0154440000006
6,10459,2022-11-08,Sides & Other,4.99,200.4,In-store , Credit Card,Walter Muller,Berlin,999.9960000000001,149.9994,1.08,1079.9956800000002
7,10460,2022-11-09,Burgers,12.99,554.27,In-store , Credit Card,Remy Monet,Paris,7199.9673,1079.995095,1.08,7775.9646840000005
8,10461,2022-11-09,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Remy Monet,Paris,2000.0494999999999,300.00742499999996,1.08,2160.05346
9,10462,2022-11-09,Fries,3.49,573.07,In-store , Credit Card,       Remy Monet,Paris,2000.0143000000003,300.00214500000004,1.08,2160.0154440000006
10,10463,2022-11-09,Beverages,2.95,677.97,In-store , Credit Card,       Remy Monet,Paris,2000.0115000000003,300.001725,1.08,2160.0124200000005
11,10464,2022-11-09,Sides & Other,4.99,200.4,In-store , Credit Card,Remy     Monet,Paris,999.9960000000001,149.9994,1.08,1079.9956800000002
12,10465,2022-11-10,Burgers,12.99,554.27,In-store , Credit Card,Pablo Perez,Madrid,7199.9673,1079.995095,1.08,7775.9646840000005
13,10466,2022-11-10,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Pablo Perez,Madrid,2000.0494999999999,300.00742499999996,1.08,2160.05346
14,10467,2022-11-10,Fries,3.49,573.07,In-store , Credit Card,Pablo Perez,Madrid,2000.0143000000003,300.00214500000004,1.08,2160.0154440000006
15,10468,2022-11-10,Beverages,2.95,677.97,In-store , Credit Card,       Pablo Perez,Madrid,2000.0115000000003,300.001725,1.08,2160.0124200000005
16,10470,2022-11-11,Burgers,12.99,554.27,In-store , Credit Card,       Pablo Perez,Madrid,7199.9673,1079.995095,1.08,7775.9646840000005
